Number,Name,Nickname,City,StateProv,Country,RookieYear,RobotName,HasConnected,Has-Connected
1501,"PHD, Inc./YRG Robotics/Ecolab/Huntington County Community Learning Center/Carrier/BAE Systems/AEP/Apollo Casters/First Indiana Robotics/Community Link FCU/Raytheon/Shuttleworth/Huntington County 4H/Pretzels/Deister&4-H",Team THRUST,Huntington,Indiana,USA,2005,,TRUE,1
2501,,Bionic Polars,,,,0,,FALSE,0
3501,,Firebots,,,,0,,FALSE,0
4501,,Humans,,,,0,,FALSE,0
6501,,Bobcats,,,,0,,FALSE,0
7501,,Golden Gears,,,,0,,FALSE,0
